Code,Description
M7385,Other soft tissue disorders in diseases classified elsewhere
M7386,Other soft tissue disorders in diseases classified elsewhere
M7387,Other soft tissue disorders in diseases classified elsewhere
M7388,Other soft tissue disorders in diseases classified elsewhere
M7389,Other soft tissue disorders in diseases classified elsewhere
M75,Shoulder lesions
M750,Adhesive capsulitis of shoulder
M751,Rotator cuff syndrome
M752,Bicipital tendinitis
M753,Calcific tendinitis of shoulder
M754,Impingement syndrome of shoulder
M755,Bursitis of shoulder
M758,Other shoulder lesions
M759,"Shoulder lesion, unspecified"
M76,"Enthesopathies of lower limb, excluding foot"
M760,Gluteal tendinitis
M7600,Gluteal tendinitis
M7605,Gluteal tendinitis
M761,Psoas tendinitis
M7610,Psoas tendinitis
M7615,Psoas tendinitis
M762,Iliac crest spur
M763,Iliotibial band syndrome
M7630,Iliotibial band syndrome
M7635,Iliotibial band syndrome
M7636,Iliotibial band syndrome
M764,Tibial collateral bursitis [Pellegrini-Stieda]
M765,Patellar tendinitis
M766,Achilles tendinitis
M7660,Achilles tendinitis
M7666,Achilles tendinitis
M7667,Achilles tendinitis
M767,Peroneal tendinitis
M7670,Peroneal tendinitis
M7676,Peroneal tendinitis
M7677,Peroneal tendinitis
M768,"Other enthesopathies of lower limb, excluding foot"
M7680,"Other enthesopathies of lower limb, excluding foot"
M7685,"Other enthesopathies of lower limb, excluding foot"
M7686,"Other enthesopathies of lower limb, excluding foot"
M7687,"Other enthesopathies of lower limb, excluding foot"
M769,"Enthesopathy of lower limb, unspecified"
M7690,"Enthesopathy of lower limb, unspecified"
M7695,"Enthesopathy of lower limb, unspecified"
M7696,"Enthesopathy of lower limb, unspecified"
M7697,"Enthesopathy of lower limb, unspecified"
M7698,"Enthesopathy of lower limb, unspecified"
M7699,"Enthesopathy of lower limb, unspecified"
M77,Other enthesopathies
M770,Medial epicondylitis
M7700,Medial epicondylitis
M7702,Medial epicondylitis
M7705,Medial epicondylitis
M7706,Medial epicondylitis
M7709,Medial epicondylitis
M771,Lateral epicondylitis
M7710,Lateral epicondylitis
M7712,Lateral epicondylitis
M7715,Lateral epicondylitis
M7716,Lateral epicondylitis
M7719,Lateral epicondylitis
M772,Periarthritis of wrist
M773,Calcaneal spur
M774,Metatarsalgia
M775,Other enthesopathy of foot
M778,"Other enthesopathies, not elsewhere classified"
M7780,"Other enthesopathies, not elsewhere classified"
M7781,"Other enthesopathies, not elsewhere classified"
M7782,"Other enthesopathies, not elsewhere classified"
M7783,"Other enthesopathies, not elsewhere classified"
M7784,"Other enthesopathies, not elsewhere classified"
M7785,"Other enthesopathies, not elsewhere classified"
M7786,"Other enthesopathies, not elsewhere classified"
M7787,"Other enthesopathies, not elsewhere classified"
M7788,"Other enthesopathies, not elsewhere classified"
M7789,"Other enthesopathies, not elsewhere classified"
M779,"Enthesopathy, unspecified"
M7790,"Enthesopathy, unspecified"
M7791,"Enthesopathy, unspecified"
M7792,"Enthesopathy, unspecified"
M7793,"Enthesopathy, unspecified"
M7794,"Enthesopathy, unspecified"
M7795,"Enthesopathy, unspecified"
M7796,"Enthesopathy, unspecified"
M7797,"Enthesopathy, unspecified"
M7798,"Enthesopathy, unspecified"
M7799,"Enthesopathy, unspecified"
M79,"Other soft tissue disorders, not elsewhere classified"
M790,"Rheumatism, unspecified"
M7900,"Rheumatism, unspecified"
M7901,"Rheumatism, unspecified"
M7902,"Rheumatism, unspecified"
M7903,"Rheumatism, unspecified"
M7904,"Rheumatism, unspecified"
M7905,"Rheumatism, unspecified"
M7906,"Rheumatism, unspecified"
M7907,"Rheumatism, unspecified"
M7908,"Rheumatism, unspecified"
M7909,"Rheumatism, unspecified"
M791,Myalgia
M7910,Myalgia
M7911,Myalgia
M7912,Myalgia
M7913,Myalgia
M7914,Myalgia
M7915,Myalgia
M7916,Myalgia
M7917,Myalgia
M7918,Myalgia
M7919,Myalgia
M792,"Neuralgia and neuritis, unspecified"
M7920,"Neuralgia and neuritis, unspecified"
M7921,"Neuralgia and neuritis, unspecified"
M7922,"Neuralgia and neuritis, unspecified"
M7923,"Neuralgia and neuritis, unspecified"
M7924,"Neuralgia and neuritis, unspecified"
M7925,"Neuralgia and neuritis, unspecified"
M7926,"Neuralgia and neuritis, unspecified"
M7927,"Neuralgia and neuritis, unspecified"
M7928,"Neuralgia and neuritis, unspecified"
M7929,"Neuralgia and neuritis, unspecified"
M793,"Panniculitis, unspecified"
M7930,"Panniculitis, unspecified"
M7931,"Panniculitis, unspecified"
M7932,"Panniculitis, unspecified"
M7933,"Panniculitis, unspecified"
M7934,"Panniculitis, unspecified"
M7935,"Panniculitis, unspecified"
M7936,"Panniculitis, unspecified"
M7937,"Panniculitis, unspecified"
M7938,"Panniculitis, unspecified"
M7939,"Panniculitis, unspecified"
M794,Hypertrophy of (infrapatellar) fat pad
M7940,Hypertrophy of (infrapatellar) fat pad
M7941,Hypertrophy of (infrapatellar) fat pad
M7942,Hypertrophy of (infrapatellar) fat pad
M7943,Hypertrophy of (infrapatellar) fat pad
M7944,Hypertrophy of (infrapatellar) fat pad
M7945,Hypertrophy of (infrapatellar) fat pad
M7946,Hypertrophy of (infrapatellar) fat pad
M7947,Hypertrophy of (infrapatellar) fat pad
M7948,Hypertrophy of (infrapatellar) fat pad
M795,Residual foreign body in soft tissue
M7950,Residual foreign body in soft tissue
M7951,Residual foreign body in soft tissue
M7952,Residual foreign body in soft tissue
M7953,Residual foreign body in soft tissue
M7954,Residual foreign body in soft tissue
M7955,Residual foreign body in soft tissue
M7956,Residual foreign body in soft tissue
M7957,Residual foreign body in soft tissue
M7958,Residual foreign body in soft tissue
M7959,Residual foreign body in soft tissue
M796,Pain in limb
M7960,Pain in limb
M7961,Pain in limb
M7962,Pain in limb
M7963,Pain in limb
M7964,Pain in limb
M7965,Pain in limb
M7966,Pain in limb
M7967,Pain in limb
M7968,Pain in limb
M7969,Pain in limb
M797,Fibromyalgia
M7970,Fibromyalgia
M7971,Fibromyalgia
M7972,Fibromyalgia
M7973,Fibromyalgia
M7974,Fibromyalgia
M7975,Fibromyalgia
M7976,Fibromyalgia
M7977,Fibromyalgia
M7978,Fibromyalgia
M7979,Fibromyalgia
M798,Other specified soft tissue disorders
M7980,Other specified soft tissue disorders
M7981,Other specified soft tissue disorders
M7982,Other specified soft tissue disorders
M7983,Other specified soft tissue disorders
M7984,Other specified soft tissue disorders
M7985,Other specified soft tissue disorders
M7986,Other specified soft tissue disorders
M7987,Other specified soft tissue disorders
M7988,Other specified soft tissue disorders
M7989,Other specified soft tissue disorders
M799,"Soft tissue disorder, unspecified"
M7990,"Soft tissue disorder, unspecified"
M7991,"Soft tissue disorder, unspecified"
M7992,"Soft tissue disorder, unspecified"
M7993,"Soft tissue disorder, unspecified"
M7994,"Soft tissue disorder, unspecified"
M7995,"Soft tissue disorder, unspecified"
M7996,"Soft tissue disorder, unspecified"
M7997,"Soft tissue disorder, unspecified"
M7998,"Soft tissue disorder, unspecified"
M7999,"Soft tissue disorder, unspecified"
M80,Osteoporosis with pathological fracture
M800,Postmenopausal osteoporosis with pathological fracture
M8000,Postmenopausal osteoporosis with pathological fracture
M8001,Postmenopausal osteoporosis with pathological fracture
M8002,Postmenopausal osteoporosis with pathological fracture
M8003,Postmenopausal osteoporosis with pathological fracture
M8004,Postmenopausal osteoporosis with pathological fracture
M8005,Postmenopausal osteoporosis with pathological fracture
M8006,Postmenopausal osteoporosis with pathological fracture
M8007,Postmenopausal osteoporosis with pathological fracture
M8008,Postmenopausal osteoporosis with pathological fracture
M8009,Postmenopausal osteoporosis with pathological fracture
M801,Postoophorectomy osteoporosis with pathological fracture
M8010,Postoophorectomy osteoporosis with pathological fracture
M8011,Postoophorectomy osteoporosis with pathological fracture
M8012,Postoophorectomy osteoporosis with pathological fracture
M8013,Postoophorectomy osteoporosis with pathological fracture
M8014,Postoophorectomy osteoporosis with pathological fracture
M8015,Postoophorectomy osteoporosis with pathological fracture
M8016,Postoophorectomy osteoporosis with pathological fracture
M8017,Postoophorectomy osteoporosis with pathological fracture
M8018,Postoophorectomy osteoporosis with pathological fracture
M8019,Postoophorectomy osteoporosis with pathological fracture
M802,Osteoporosis of disuse with pathological fracture
M8020,Osteoporosis of disuse with pathological fracture
M8021,Osteoporosis of disuse with pathological fracture
M8022,Osteoporosis of disuse with pathological fracture
M8023,Osteoporosis of disuse with pathological fracture
M8024,Osteoporosis of disuse with pathological fracture
M8025,Osteoporosis of disuse with pathological fracture
M8026,Osteoporosis of disuse with pathological fracture
M8027,Osteoporosis of disuse with pathological fracture
M8028,Osteoporosis of disuse with pathological fracture
M8029,Osteoporosis of disuse with pathological fracture
M803,Postsurgical malabsorption osteoporosis with pathological fracture
M8030,Postsurgical malabsorption osteoporosis with pathological fracture
M8031,Postsurgical malabsorption osteoporosis with pathological fracture
M8032,Postsurgical malabsorption osteoporosis with pathological fracture
M8033,Postsurgical malabsorption osteoporosis with pathological fracture
M8034,Postsurgical malabsorption osteoporosis with pathological fracture
M8035,Postsurgical malabsorption osteoporosis with pathological fracture
M8036,Postsurgical malabsorption osteoporosis with pathological fracture
M8037,Postsurgical malabsorption osteoporosis with pathological fracture
M8038,Postsurgical malabsorption osteoporosis with pathological fracture
M8039,Postsurgical malabsorption osteoporosis with pathological fracture
M804,Drug-induced osteoporosis with pathological fracture
M8040,Drug-induced osteoporosis with pathological fracture
M8041,Drug-induced osteoporosis with pathological fracture
M8042,Drug-induced osteoporosis with pathological fracture
M8043,Drug-induced osteoporosis with pathological fracture
M8044,Drug-induced osteoporosis with pathological fracture
M8045,Drug-induced osteoporosis with pathological fracture
M8046,Drug-induced osteoporosis with pathological fracture
M8047,Drug-induced osteoporosis with pathological fracture
M8048,Drug-induced osteoporosis with pathological fracture
M8049,Drug-induced osteoporosis with pathological fracture
M805,Idiopathic osteoporosis with pathological fracture
M8050,Idiopathic osteoporosis with pathological fracture
M8051,Idiopathic osteoporosis with pathological fracture
M8052,Idiopathic osteoporosis with pathological fracture
M8053,Idiopathic osteoporosis with pathological fracture
M8054,Idiopathic osteoporosis with pathological fracture
M8055,Idiopathic osteoporosis with pathological fracture
M8056,Idiopathic osteoporosis with pathological fracture
M8057,Idiopathic osteoporosis with pathological fracture
M8058,Idiopathic osteoporosis with pathological fracture
M8059,Idiopathic osteoporosis with pathological fracture
M808,Other osteoporosis with pathological fracture
M8080,Other osteoporosis with pathological fracture
M8081,Other osteoporosis with pathological fracture
M8082,Other osteoporosis with pathological fracture
M8083,Other osteoporosis with pathological fracture
M8084,Other osteoporosis with pathological fracture
M8085,Other osteoporosis with pathological fracture
M8086,Other osteoporosis with pathological fracture
M8087,Other osteoporosis with pathological fracture
M8088,Other osteoporosis with pathological fracture
M8089,Other osteoporosis with pathological fracture
M809,Unspecified osteoporosis with pathological fracture
M8090,Unspecified osteoporosis with pathological fracture
M8091,Unspecified osteoporosis with pathological fracture
M8092,Unspecified osteoporosis with pathological fracture
M8093,Unspecified osteoporosis with pathological fracture
M8094,Unspecified osteoporosis with pathological fracture
M8095,Unspecified osteoporosis with pathological fracture
M8096,Unspecified osteoporosis with pathological fracture
M8097,Unspecified osteoporosis with pathological fracture
M8098,Unspecified osteoporosis with pathological fracture
M8099,Unspecified osteoporosis with pathological fracture
M81,Osteoporosis without pathological fracture
M810,Postmenopausal osteoporosis
M8100,Postmenopausal osteoporosis
M8101,Postmenopausal osteoporosis
M8102,Postmenopausal osteoporosis
M8103,Postmenopausal osteoporosis
M8104,Postmenopausal osteoporosis
M8105,Postmenopausal osteoporosis
M8106,Postmenopausal osteoporosis
M8107,Postmenopausal osteoporosis
M8108,Postmenopausal osteoporosis
M8109,Postmenopausal osteoporosis
M811,Postoophorectomy osteoporosis
M8110,Postoophorectomy osteoporosis
M8111,Postoophorectomy osteoporosis
M8112,Postoophorectomy osteoporosis
M8113,Postoophorectomy osteoporosis
M8114,Postoophorectomy osteoporosis
M8115,Postoophorectomy osteoporosis
M8116,Postoophorectomy osteoporosis
M8117,Postoophorectomy osteoporosis
M8118,Postoophorectomy osteoporosis
M8119,Postoophorectomy osteoporosis
M812,Osteoporosis of disuse
M8120,Osteoporosis of disuse
M8121,Osteoporosis of disuse
M8122,Osteoporosis of disuse
M8123,Osteoporosis of disuse
M8124,Osteoporosis of disuse
M8125,Osteoporosis of disuse
M8126,Osteoporosis of disuse
M8127,Osteoporosis of disuse
M8128,Osteoporosis of disuse
M8129,Osteoporosis of disuse
M813,Postsurgical malabsorption osteoporosis
M8130,Postsurgical malabsorption osteoporosis
M8131,Postsurgical malabsorption osteoporosis
M8132,Postsurgical malabsorption osteoporosis
M8133,Postsurgical malabsorption osteoporosis
M8134,Postsurgical malabsorption osteoporosis
M8135,Postsurgical malabsorption osteoporosis
M8136,Postsurgical malabsorption osteoporosis
M8137,Postsurgical malabsorption osteoporosis
M8138,Postsurgical malabsorption osteoporosis
M8139,Postsurgical malabsorption osteoporosis
M814,Drug-induced osteoporosis
M8140,Drug-induced osteoporosis
M8141,Drug-induced osteoporosis
M8142,Drug-induced osteoporosis
M8143,Drug-induced osteoporosis
M8144,Drug-induced osteoporosis
M8145,Drug-induced osteoporosis
M8146,Drug-induced osteoporosis
M8147,Drug-induced osteoporosis
M8148,Drug-induced osteoporosis
M8149,Drug-induced osteoporosis
M815,Idiopathic osteoporosis
M8150,Idiopathic osteoporosis
M8151,Idiopathic osteoporosis
M8152,Idiopathic osteoporosis
M8153,Idiopathic osteoporosis
M8154,Idiopathic osteoporosis
M8155,Idiopathic osteoporosis
M8156,Idiopathic osteoporosis
M8157,Idiopathic osteoporosis
M8158,Idiopathic osteoporosis
M8159,Idiopathic osteoporosis
M816,Localized osteoporosis [Lequesne]
M8160,Localized osteoporosis [Lequesne]
M8161,Localized osteoporosis [Lequesne]
M8162,Localized osteoporosis [Lequesne]
M8163,Localized osteoporosis [Lequesne]
M8164,Localized osteoporosis [Lequesne]
M8165,Localized osteoporosis [Lequesne]
M8166,Localized osteoporosis [Lequesne]
M8167,Localized osteoporosis [Lequesne]
M8168,Localized osteoporosis [Lequesne]
M8169,Localized osteoporosis [Lequesne]
M818,Other osteoporosis
M8180,Other osteoporosis
M8181,Other osteoporosis
M8182,Other osteoporosis
M8183,Other osteoporosis
M8184,Other osteoporosis
M8185,Other osteoporosis
M8186,Other osteoporosis
M8187,Other osteoporosis
M8188,Other osteoporosis
M8189,Other osteoporosis
M819,"Osteoporosis, unspecified"
M8190,"Osteoporosis, unspecified"
M8191,"Osteoporosis, unspecified"
M8192,"Osteoporosis, unspecified"
M8193,"Osteoporosis, unspecified"
M8194,"Osteoporosis, unspecified"
M8195,"Osteoporosis, unspecified"
M8196,"Osteoporosis, unspecified"
M8197,"Osteoporosis, unspecified"
M8198,"Osteoporosis, unspecified"
M8199,"Osteoporosis, unspecified"
M82,Osteoporosis in diseases classified elsewhere
M820,Osteoporosis in multiple myelomatosis
M8200,Osteoporosis in multiple myelomatosis
M8201,Osteoporosis in multiple myelomatosis
M8202,Osteoporosis in multiple myelomatosis
M8203,Osteoporosis in multiple myelomatosis
M8204,Osteoporosis in multiple myelomatosis
M8205,Osteoporosis in multiple myelomatosis
M8206,Osteoporosis in multiple myelomatosis
M8207,Osteoporosis in multiple myelomatosis
M8208,Osteoporosis in multiple myelomatosis
M8209,Osteoporosis in multiple myelomatosis
M821,Osteoporosis in endocrine disorders
M8210,Osteoporosis in endocrine disorders
M8211,Osteoporosis in endocrine disorders
M8212,Osteoporosis in endocrine disorders
M8213,Osteoporosis in endocrine disorders
M8214,Osteoporosis in endocrine disorders
M8215,Osteoporosis in endocrine disorders
M8216,Osteoporosis in endocrine disorders
M8217,Osteoporosis in endocrine disorders
M8218,Osteoporosis in endocrine disorders
M8219,Osteoporosis in endocrine disorders
M828,Osteoporosis in other diseases classified elsewhere
M8280,Osteoporosis in other diseases classified elsewhere
M8281,Osteoporosis in other diseases classified elsewhere
M8282,Osteoporosis in other diseases classified elsewhere
M8283,Osteoporosis in other diseases classified elsewhere
M8284,Osteoporosis in other diseases classified elsewhere
M8285,Osteoporosis in other diseases classified elsewhere
M8286,Osteoporosis in other diseases classified elsewhere
M8287,Osteoporosis in other diseases classified elsewhere
M8288,Osteoporosis in other diseases classified elsewhere
M8289,Osteoporosis in other diseases classified elsewhere
M83,Adult osteomalacia
M830,Puerperal osteomalacia
M8300,Puerperal osteomalacia
M8301,Puerperal osteomalacia
M8302,Puerperal osteomalacia
M8303,Puerperal osteomalacia
M8304,Puerperal osteomalacia
M8305,Puerperal osteomalacia
M8306,Puerperal osteomalacia
M8307,Puerperal osteomalacia
M8308,Puerperal osteomalacia
M8309,Puerperal osteomalacia
M831,Senile osteomalacia
M8310,Senile osteomalacia
M8311,Senile osteomalacia
M8312,Senile osteomalacia
M8313,Senile osteomalacia
M8314,Senile osteomalacia
M8315,Senile osteomalacia
M8316,Senile osteomalacia
M8317,Senile osteomalacia
M8318,Senile osteomalacia
M8319,Senile osteomalacia
M832,Adult osteomalacia due to malabsorption
M8320,Adult osteomalacia due to malabsorption
M8321,Adult osteomalacia due to malabsorption
M8322,Adult osteomalacia due to malabsorption
M8323,Adult osteomalacia due to malabsorption
M8324,Adult osteomalacia due to malabsorption
M8325,Adult osteomalacia due to malabsorption
M8326,Adult osteomalacia due to malabsorption
M8327,Adult osteomalacia due to malabsorption
M8328,Adult osteomalacia due to malabsorption
M8329,Adult osteomalacia due to malabsorption
M833,Adult osteomalacia due to malnutrition
M8330,Adult osteomalacia due to malnutrition
M8331,Adult osteomalacia due to malnutrition
M8332,Adult osteomalacia due to malnutrition
M8333,Adult osteomalacia due to malnutrition
M8334,Adult osteomalacia due to malnutrition
M8335,Adult osteomalacia due to malnutrition
M8336,Adult osteomalacia due to malnutrition
M8337,Adult osteomalacia due to malnutrition
M8338,Adult osteomalacia due to malnutrition
M8339,Adult osteomalacia due to malnutrition
M834,Aluminium bone disease
M8340,Aluminium bone disease
M8341,Aluminium bone disease
M8342,Aluminium bone disease
M8343,Aluminium bone disease
M8344,Aluminium bone disease
M8345,Aluminium bone disease
M8346,Aluminium bone disease
M8347,Aluminium bone disease
M8348,Aluminium bone disease
M8349,Aluminium bone disease
M835,Other drug-induced osteomalacia in adults
M8350,Other drug-induced osteomalacia in adults
M8351,Other drug-induced osteomalacia in adults
M8352,Other drug-induced osteomalacia in adults
M8353,Other drug-induced osteomalacia in adults
M8354,Other drug-induced osteomalacia in adults
M8355,Other drug-induced osteomalacia in adults
M8356,Other drug-induced osteomalacia in adults
M8357,Other drug-induced osteomalacia in adults
M8358,Other drug-induced osteomalacia in adults
M8359,Other drug-induced osteomalacia in adults
M838,Other adult osteomalacia
M8380,Other adult osteomalacia
M8381,Other adult osteomalacia
M8382,Other adult osteomalacia
M8383,Other adult osteomalacia
M8384,Other adult osteomalacia
M8385,Other adult osteomalacia
M8386,Other adult osteomalacia
M8387,Other adult osteomalacia
M8388,Other adult osteomalacia
M8389,Other adult osteomalacia
M839,"Adult osteomalacia, unspecified"
M8390,"Adult osteomalacia, unspecified"
M8391,"Adult osteomalacia, unspecified"
M8392,"Adult osteomalacia, unspecified"
M8393,"Adult osteomalacia, unspecified"
M8394,"Adult osteomalacia, unspecified"
M8395,"Adult osteomalacia, unspecified"
M8396,"Adult osteomalacia, unspecified"
M8397,"Adult osteomalacia, unspecified"
M8398,"Adult osteomalacia, unspecified"
M8399,"Adult osteomalacia, unspecified"
M84,Disorders of continuity of bone
M840,Malunion of fracture
M8400,Malunion of fracture
M8401,Malunion of fracture
M8402,Malunion of fracture
M8403,Malunion of fracture
M8404,Malunion of fracture
M8405,Malunion of fracture
M8406,Malunion of fracture
M8407,Malunion of fracture
M8408,Malunion of fracture
M8409,Malunion of fracture
M841,Nonunion of fracture [pseudarthrosis]
M8410,Nonunion of fracture [pseudarthrosis]
M8411,Nonunion of fracture [pseudarthrosis]
M8412,Nonunion of fracture [pseudarthrosis]
M8413,Nonunion of fracture [pseudarthrosis]
M8414,Nonunion of fracture [pseudarthrosis]
M8415,Nonunion of fracture [pseudarthrosis]
M8416,Nonunion of fracture [pseudarthrosis]
M8417,Nonunion of fracture [pseudarthrosis]
M8418,Nonunion of fracture [pseudarthrosis]
M8419,Nonunion of fracture [pseudarthrosis]
M842,Delayed union of fracture
M8420,Delayed union of fracture
M8421,Delayed union of fracture
M8422,Delayed union of fracture
M8423,Delayed union of fracture
M8424,Delayed union of fracture
M8425,Delayed union of fracture
M8426,Delayed union of fracture
M8427,Delayed union of fracture
M8428,Delayed union of fracture
M8429,Delayed union of fracture
M843,"Stress fracture, not elsewhere classified"
M8430,"Stress fracture, not elsewhere classified"
M8431,"Stress fracture, not elsewhere classified"
M8432,"Stress fracture, not elsewhere classified"
M8433,"Stress fracture, not elsewhere classified"
M8434,"Stress fracture, not elsewhere classified"
M8435,"Stress fracture, not elsewhere classified"
M8436,"Stress fracture, not elsewhere classified"
M8437,"Stress fracture, not elsewhere classified"
M8438,"Stress fracture, not elsewhere classified"
M8439,"Stress fracture, not elsewhere classified"
M844,"Pathological fracture, not elsewhere classified"
M8440,"Pathological fracture, not elsewhere classified"
M8441,"Pathological fracture, not elsewhere classified"
M8442,"Pathological fracture, not elsewhere classified"
M8443,"Pathological fracture, not elsewhere classified"
M8444,"Pathological fracture, not elsewhere classified"
M8445,"Pathological fracture, not elsewhere classified"
M8446,"Pathological fracture, not elsewhere classified"
M8447,"Pathological fracture, not elsewhere classified"
M8448,"Pathological fracture, not elsewhere classified"
M8449,"Pathological fracture, not elsewhere classified"
M848,Other disorders of continuity of bone
M8480,Other disorders of continuity of bone
M8481,Other disorders of continuity of bone
M8482,Other disorders of continuity of bone
M8483,Other disorders of continuity of bone
M8484,Other disorders of continuity of bone
M8485,Other disorders of continuity of bone
M8486,Other disorders of continuity of bone
M8487,Other disorders of continuity of bone
M8488,Other disorders of continuity of bone
M8489,Other disorders of continuity of bone
M849,"Disorder of continuity of bone, unspecified"
M8490,"Disorder of continuity of bone, unspecified"
M8491,"Disorder of continuity of bone, unspecified"
M8492,"Disorder of continuity of bone, unspecified"
M8493,"Disorder of continuity of bone, unspecified"
M8494,"Disorder of continuity of bone, unspecified"
M8495,"Disorder of continuity of bone, unspecified"
M8496,"Disorder of continuity of bone, unspecified"
M8497,"Disorder of continuity of bone, unspecified"
M8498,"Disorder of continuity of bone, unspecified"
M8499,"Disorder of continuity of bone, unspecified"
M85,Other disorders of bone density and structure
M850,Fibrous dysplasia (monostotic)
M8500,Fibrous dysplasia (monostotic)
M8501,Fibrous dysplasia (monostotic)
M8502,Fibrous dysplasia (monostotic)
M8503,Fibrous dysplasia (monostotic)
M8504,Fibrous dysplasia (monostotic)
M8505,Fibrous dysplasia (monostotic)
M8506,Fibrous dysplasia (monostotic)
M8507,Fibrous dysplasia (monostotic)
M8508,Fibrous dysplasia (monostotic)
M8509,Fibrous dysplasia (monostotic)
M851,Skeletal fluorosis
M8510,Skeletal fluorosis
M8511,Skeletal fluorosis
M8512,Skeletal fluorosis
M8513,Skeletal fluorosis
M8514,Skeletal fluorosis
M8515,Skeletal fluorosis
M8516,Skeletal fluorosis
M8517,Skeletal fluorosis
M8518,Skeletal fluorosis
M8519,Skeletal fluorosis
M852,Hyperostosis of skull
M853,Osteitis condensans
M8530,Osteitis condensans
M8531,Osteitis condensans
M8532,Osteitis condensans
M8533,Osteitis condensans
M8534,Osteitis condensans
M8535,Osteitis condensans
M8536,Osteitis condensans
M8537,Osteitis condensans
M8538,Osteitis condensans
M8539,Osteitis condensans
M854,Solitary bone cyst
M8540,Solitary bone cyst
M8541,Solitary bone cyst
M8542,Solitary bone cyst
M8543,Solitary bone cyst
M8544,Solitary bone cyst
M8545,Solitary bone cyst
M8546,Solitary bone cyst
M8547,Solitary bone cyst
M8548,Solitary bone cyst
M8549,Solitary bone cyst
M855,Aneurysmal bone cyst
M8550,Aneurysmal bone cyst
M8551,Aneurysmal bone cyst
M8552,Aneurysmal bone cyst
M8553,Aneurysmal bone cyst
M8554,Aneurysmal bone cyst
M8555,Aneurysmal bone cyst
M8556,Aneurysmal bone cyst
M8557,Aneurysmal bone cyst
M8558,Aneurysmal bone cyst
M8559,Aneurysmal bone cyst
M856,Other cyst of bone
M8560,Other cyst of bone
M8561,Other cyst of bone
M8562,Other cyst of bone
M8563,Other cyst of bone
M8564,Other cyst of bone
M8565,Other cyst of bone
M8566,Other cyst of bone
M8567,Other cyst of bone
M8568,Other cyst of bone
M8569,Other cyst of bone
M858,Other specified disorders of bone density and structure
M8580,Other specified disorders of bone density and structure
M8581,Other specified disorders of bone density and structure
M8582,Other specified disorders of bone density and structure
M8583,Other specified disorders of bone density and structure
M8584,Other specified disorders of bone density and structure
M8585,Other specified disorders of bone density and structure
M8586,Other specified disorders of bone density and structure
M8587,Other specified disorders of bone density and structure
M8588,Other specified disorders of bone density and structure
M8589,Other specified disorders of bone density and structure
M859,"Disorder of bone density and structure, unspecified"
M8590,"Disorder of bone density and structure, unspecified"
M8591,"Disorder of bone density and structure, unspecified"
M8592,"Disorder of bone density and structure, unspecified"
M8593,"Disorder of bone density and structure, unspecified"
M8594,"Disorder of bone density and structure, unspecified"
M8595,"Disorder of bone density and structure, unspecified"
M8596,"Disorder of bone density and structure, unspecified"
M8597,"Disorder of bone density and structure, unspecified"
M8598,"Disorder of bone density and structure, unspecified"
M8599,"Disorder of bone density and structure, unspecified"
M86,Osteomyelitis
M860,Acute haematogenous osteomyelitis
M8600,Acute haematogenous osteomyelitis
M8601,Acute haematogenous osteomyelitis
M8602,Acute haematogenous osteomyelitis
M8603,Acute haematogenous osteomyelitis
M8604,Acute haematogenous osteomyelitis
M8605,Acute haematogenous osteomyelitis
M8606,Acute haematogenous osteomyelitis
M8607,Acute haematogenous osteomyelitis
M8608,Acute haematogenous osteomyelitis
M8609,Acute haematogenous osteomyelitis
M861,Other acute osteomyelitis
M8610,Other acute osteomyelitis
M8611,Other acute osteomyelitis
M8612,Other acute osteomyelitis
M8613,Other acute osteomyelitis
M8614,Other acute osteomyelitis
M8615,Other acute osteomyelitis
M8616,Other acute osteomyelitis
M8617,Other acute osteomyelitis
M8618,Other acute osteomyelitis
M8619,Other acute osteomyelitis
M862,Subacute osteomyelitis
M8620,Subacute osteomyelitis
M8621,Subacute osteomyelitis
M8622,Subacute osteomyelitis
M8623,Subacute osteomyelitis
M8624,Subacute osteomyelitis
M8625,Subacute osteomyelitis
M8626,Subacute osteomyelitis
M8627,Subacute osteomyelitis
M8628,Subacute osteomyelitis
M8629,Subacute osteomyelitis
M863,Chronic multifocal osteomyelitis
M8630,Chronic multifocal osteomyelitis
M8631,Chronic multifocal osteomyelitis
M8632,Chronic multifocal osteomyelitis
M8633,Chronic multifocal osteomyelitis
M8634,Chronic multifocal osteomyelitis
M8635,Chronic multifocal osteomyelitis
M8636,Chronic multifocal osteomyelitis
M8637,Chronic multifocal osteomyelitis
M8638,Chronic multifocal osteomyelitis
M8639,Chronic multifocal osteomyelitis
M864,Chronic osteomyelitis with draining sinus
M8640,Chronic osteomyelitis with draining sinus
M8641,Chronic osteomyelitis with draining sinus
M8642,Chronic osteomyelitis with draining sinus
M8643,Chronic osteomyelitis with draining sinus
M8644,Chronic osteomyelitis with draining sinus
M8645,Chronic osteomyelitis with draining sinus
M8646,Chronic osteomyelitis with draining sinus
M8647,Chronic osteomyelitis with draining sinus
M8648,Chronic osteomyelitis with draining sinus
M8649,Chronic osteomyelitis with draining sinus
M865,Other chronic haematogenous osteomyelitis
M8650,Other chronic haematogenous osteomyelitis
M8651,Other chronic haematogenous osteomyelitis
M8652,Other chronic haematogenous osteomyelitis
M8653,Other chronic haematogenous osteomyelitis
M8654,Other chronic haematogenous osteomyelitis
M8655,Other chronic haematogenous osteomyelitis
